Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-6T4UFE,2712,4,LinkedIn,Image,35-44,Female,India,44974,2130,1658.3333333333333,0.06030150753768844,4.736069729176857,1
CAMP-L6246H,23583,17,YouTube,Image,55+,Female,UK,32477,4850,137.71360725946658,0.7261446562182468,14.933645349016228,1
CAMP-ID25OW,48655,13,LinkedIn,Text,35-44,Male,Canada,16742,4017,34.40961874421951,2.9061641380958068,23.99354915780671,1
CAMP-F75935,17259,10,YouTube,Text,18-24,Male,Canada,31675,3303,183.52743496146937,0.5448776637726914,10.427782162588791,1
CAMP-A0L725,45074,28,Instagram,Video,55+,Male,Canada,24968,720,55.39335315259352,1.805270746555591,2.8836911246395385,1
CAMP-3J2D54,41094,53,Google,Story,35-44,Female,UK,41445,75,100.85413929040736,0.9915309446254071,0.18096272167933405,0
CAMP-I3QK2I,14641,47,YouTube,Video,45-54,Male,UK,41186,1294,281.305921726658,0.3554848735007041,3.141844316029719,1
CAMP-AGL58K,36020,46,Facebook,Carousel,55+,Male,Germany,49340,1923,136.97945585785675,0.7300364815565464,3.8974462910417516,1
CAMP-XO9T7E,26631,7,Facebook,Image,55+,All,Germany,49395,4158,185.47932860200518,0.5391436380200425,8.417856058305496,1
CAMP-8G8JDP,1685,8,YouTube,Image,25-34,Male,US,15627,4970,927.4183976261128,0.10782619824662443,31.803929097075574,1
CAMP-0LVSNU,4043,28,YouTube,Image,45-54,Male,UK,19669,320,486.4951768488746,0.20555188367481825,1.6269256189943566,0
CAMP-JZA7TZ,24039,56,YouTube,Video,18-24,Female,UK,46290,2150,192.56208660925995,0.5193130265716137,4.644631669907107,1
CAMP-0YNCXL,19557,6,Facebook,Video,35-44,Female,UK,33760,1453,172.62361302858312,0.5792950236966825,4.3039099526066344,1
CAMP-L4ZKLO,1121,21,Facebook,Image,25-34,All,Germany,37438,4970,3339.6966993755577,0.02994283882686041,13.275281799241412,1
CAMP-OKEP7Y,11753,22,YouTube,Video,35-44,Male,Canada,16245,1556,138.22002892878413,0.7234841489689136,9.578331794398276,1
CAMP-6WKTAK,43673,35,LinkedIn,Text,18-24,All,India,27739,4208,63.51521535044535,1.574425898554382,15.16997728829446,1
CAMP-PUXQPH,13517,22,LinkedIn,Text,18-24,Female,Germany,11204,3033,82.88821484057112,1.2064441270974653,27.070689039628704,1
CAMP-R62GDS,40857,51,Instagram,Video,55+,All,UK,39171,461,95.87341214479771,1.0430420464118864,1.1768910673712696,0
CAMP-WM31YI,9792,14,Google,Image,18-24,Female,Germany,29462,887,300.87826797385617,0.3323603285588215,3.010657796483606,1
CAMP-HAIR4C,45858,49,LinkedIn,Video,35-44,All,US,21391,3534,46.64616860744036,2.1437987938852787,16.52096676172222,1
CAMP-OWGZRI,6973,3,Facebook,Video,45-54,All,UK,32068,3937,459.88813996844976,0.21744418111513034,12.277036297867031,1
CAMP-XA11DP,5775,28,LinkedIn,Video,45-54,Male,US,9195,1116,159.2207792207792,0.6280587275693311,12.137030995106036,1
CAMP-G8SBI4,261,16,Instagram,Carousel,55+,All,UK,42312,1076,16211.494252873565,0.006168462847419172,2.543013802231046,1
CAMP-Q2Y9V8,37165,40,Instagram,Text,35-44,Male,Germany,46380,3877,124.79483384905153,0.8013152220784822,8.359206554549374,1
CAMP-6WZS3T,26657,39,Google,Story,35-44,Male,Canada,22273,4616,83.55403833889785,1.1968302428949849,20.72464418803035,1
CAMP-60RJIW,33863,13,LinkedIn,Story,18-24,Male,India,2930,4908,8.65251159082184,11.557337883959045,167.5085324232082,1
CAMP-1SWJCK,32706,38,Facebook,Carousel,35-44,Male,US,21321,1925,65.18987341772153,1.5339805825242718,9.028657192439379,1
CAMP-JLTEIY,11634,15,Facebook,Video,25-34,All,Germany,33363,927,286.7715317173801,0.3487096484129125,2.7785271108713245,1
CAMP-ZCOTOH,29227,45,YouTube,Carousel,18-24,Female,Canada,46950,4653,160.63913504636125,0.6225133120340788,9.910543130990416,1
CAMP-P6VZ41,40497,5,Facebook,Carousel,25-34,Female,Germany,13354,2282,32.975282119663184,3.032574509510259,17.088512805152014,1
CAMP-NAM148,25951,35,Google,Image,55+,Female,US,34745,1056,133.88694077299525,0.7468988343646568,3.0392862282342783,1
CAMP-P0TVHH,1116,8,Google,Text,45-54,All,India,30275,4675,2712.8136200716845,0.03686209744013212,15.441783649876134,1
CAMP-PBMYOF,24353,52,Facebook,Story,55+,Male,Germany,20586,542,84.53167987516939,1.182988438744778,2.6328572816477216,1
CAMP-QEWAOU,24376,58,Facebook,Video,45-54,Female,UK,30881,2162,126.68608467344929,0.7893526764029662,7.001068618244227,1
CAMP-AXEQBN,23347,12,YouTube,Story,55+,All,Canada,49206,2252,210.75941234419838,0.4744746575620859,4.5766776409380965,1
CAMP-HL1N13,24400,7,Facebook,Story,35-44,Male,Germany,11723,1053,48.045081967213115,2.081378486735477,8.982342403821548,1
CAMP-JCAT9M,8629,25,YouTube,Text,25-34,Female,Canada,21967,4570,254.57179279174875,0.39281649747348296,20.803933172486,1
CAMP-X2X18H,17362,12,YouTube,Story,45-54,Male,UK,27879,2745,160.57481856928925,0.6227626528928584,9.846120736037879,1
CAMP-AFEYUH,9368,46,Facebook,Story,18-24,Female,India,15422,3870,164.62425277540564,0.6074439112955519,25.094021527687723,1
CAMP-Z1GV0E,21371,4,Instagram,Carousel,25-34,Female,India,25988,4482,121.6040428618221,0.8223410804986917,17.246421425273205,1
CAMP-38DALY,12285,15,Instagram,Text,18-24,Female,UK,2713,4158,22.083842083842082,4.528197567268706,153.26207150755621,1
CAMP-8OZCYW,21343,42,YouTube,Image,25-34,Male,Canada,47851,4611,224.19997188773837,0.44603038598984346,9.63616225366241,1
CAMP-D14VE9,39199,4,Facebook,Video,25-34,All,Germany,9515,4526,24.27357840761244,4.119705727798213,47.56699947451393,1
CAMP-2MPNSM,8671,22,Instagram,Story,55+,Male,UK,3376,4676,38.93437896436397,2.568424170616114,138.50710900473933,1
CAMP-43D8W3,40076,3,Facebook,Video,45-54,Female,US,3709,1561,9.254915660245533,10.80506875168509,42.08681585332974,1
CAMP-ZP08J3,38144,39,Facebook,Image,45-54,Male,Canada,27644,3763,72.47273489932886,1.379829257705108,13.612357111850674,1
CAMP-TRP0J4,49316,11,Facebook,Video,25-34,All,India,4813,1165,9.75951009814259,10.24641595678371,24.205277373779346,1
CAMP-3D5IQV,49084,19,LinkedIn,Image,35-44,Male,UK,23171,2723,47.20682910928205,2.1183375771438437,11.75175866384705,1
CAMP-NB4GH2,40874,11,Facebook,Carousel,35-44,All,India,10878,2359,26.61349513137936,3.757492186063615,21.685971685971687,1
CAMP-M5ZJA8,2668,13,LinkedIn,Story,18-24,All,Canada,47638,471,1785.5322338830586,0.05600570972752844,0.9887064948150636,0
CAMP-DZR1YX,2127,17,YouTube,Image,18-24,Male,India,11271,1417,529.901269393512,0.18871439978706414,12.572087658592848,1
CAMP-R2DHYL,2795,26,Instagram,Video,55+,Female,UK,11261,1469,402.8980322003578,0.2482017582807921,13.045022644525353,1
CAMP-URTP0L,48290,40,Instagram,Story,25-34,All,Canada,13619,809,28.20252640298198,3.545781628607093,5.9402305602467145,1
CAMP-ZJJEGE,5358,57,Instagram,Carousel,18-24,Male,US,31408,172,586.1888764464353,0.17059347936831382,0.5476311767702496,0
CAMP-T1GHR0,22102,37,Instagram,Story,18-24,All,UK,37910,4127,171.52293910053388,0.5830123977842258,10.886309680823002,1
CAMP-9SKDGI,39604,32,Instagram,Image,25-34,Female,Germany,6072,4143,15.331784668215331,6.522397891963109,68.23122529644269,1
CAMP-GATJ9T,33259,33,Instagram,Carousel,55+,Male,UK,45387,4226,136.46531765837818,0.7327869213651486,9.311036199792893,1
CAMP-ZE5R5U,14086,51,Instagram,Video,18-24,Male,Canada,13565,2400,96.30129206304132,1.038407666789532,17.692591227423517,1
CAMP-QPGB7R,12766,7,YouTube,Carousel,55+,Male,UK,6209,1646,48.63700454331819,2.056047672733129,26.5099049766468,1
CAMP-3OCWBF,38760,46,Facebook,Carousel,45-54,Female,US,46041,58,118.78482972136224,0.8418583436502248,0.12597467474642168,0
CAMP-UK9E1V,3661,52,Google,Text,55+,All,US,41263,1130,1127.0964217426933,0.08872355378910889,2.738530887235538,1
CAMP-2ISQP4,26954,16,LinkedIn,Carousel,35-44,Male,Germany,21741,1354,80.65964235363954,1.2397773791453934,6.227864403661285,1
CAMP-9KWV08,39052,55,Google,Carousel,35-44,All,India,24954,768,63.89941616306463,1.5649595255269697,3.0776628997355133,1
CAMP-HHXFGC,22762,58,Google,Story,55+,All,Canada,43840,3896,192.60170459537827,0.519206204379562,8.886861313868613,1
CAMP-AQVKIZ,8492,13,Facebook,Video,35-44,Female,Canada,3094,683,36.43429109750353,2.744667097608274,22.07498383968972,1
CAMP-ZQY72W,30635,11,Facebook,Story,45-54,Male,India,9662,3455,31.539089276970785,3.1706685986338234,35.75864210308425,1
CAMP-X7PTX6,13167,36,Facebook,Story,25-34,All,US,5686,2009,43.183716867927394,2.3156876538867395,35.33239535701724,1
CAMP-3CFL0U,48133,14,Instagram,Image,35-44,Male,US,11643,3143,24.189225687158498,4.134071974576999,26.994760800480975,1
CAMP-KEYZ7S,23699,37,YouTube,Story,35-44,Male,UK,48997,1791,206.74712013165112,0.48368267444945606,3.6553258362756904,1
CAMP-RCBPLJ,35322,37,Instagram,Text,55+,Female,Germany,2942,1478,8.329086688183002,12.006118286879675,50.23793337865398,1
CAMP-D84U89,11937,3,YouTube,Text,45-54,Male,Germany,21722,886,181.97201977046157,0.5495350336064819,4.078814105515146,1
CAMP-YJB1QX,14139,42,YouTube,Image,25-34,Male,Germany,5862,3907,41.45979206450244,2.4119754350051177,66.64960764244286,1
CAMP-6GVWRD,30918,24,Google,Video,55+,All,UK,31135,4493,100.70185652370786,0.9930303516942348,14.430704994379315,1
CAMP-MLY4LY,19215,31,Google,Video,55+,Female,Germany,704,1539,3.6638043195420247,27.29403409090909,218.60795454545453,0
CAMP-K83TQL,11065,10,YouTube,Story,45-54,Male,India,17193,2074,155.38183461364662,0.6435758739021695,12.063048915256209,1
CAMP-L8OS9X,24638,13,YouTube,Story,25-34,All,UK,1848,313,7.5006088156506205,13.332251082251082,16.937229437229437,1
CAMP-TOGN1W,42630,43,Instagram,Story,45-54,Female,India,37977,811,89.08515130190007,1.1225215261869026,2.135503067646207,1
CAMP-1HT7PZ,5156,39,Instagram,Video,25-34,Female,UK,29137,2236,565.1086113266098,0.1769571335415451,7.674091361499125,1
CAMP-E9VIFT,32582,16,Google,Carousel,45-54,All,Germany,11668,2858,35.81118408937451,2.7924237230030853,24.494343503599588,1
CAMP-TD96QE,47816,32,Facebook,Text,55+,All,India,8496,2764,17.768111092521334,5.6280602636534836,32.53295668549906,1
CAMP-3RZSJ4,8210,37,YouTube,Carousel,55+,All,India,21696,2033,264.2630937880633,0.37841076696165193,9.370390855457227,1
CAMP-9ITN7S,13873,23,Instagram,Carousel,18-24,All,India,36641,1508,264.1173502486845,0.3786195791599574,4.115608198466199,1
CAMP-55J2O7,27366,39,Google,Video,35-44,All,UK,48917,4546,178.751004896587,0.5594374143958133,9.293292720322178,1
CAMP-S3KKV9,17512,7,Instagram,Carousel,45-54,Male,Canada,27250,2571,155.60758337140246,0.6426422018348624,9.4348623853211,1
CAMP-RFTMTT,33370,21,YouTube,Image,18-24,Male,Germany,29621,1895,88.7653581060833,1.1265656122345633,6.397488268458189,1
CAMP-QLGZUI,7010,16,YouTube,Story,35-44,Female,India,22588,2706,322.22539229671895,0.31034177439348326,11.97981228971135,1
CAMP-1B0Z3N,45553,28,LinkedIn,Image,45-54,Male,Canada,40605,597,89.13792724957742,1.1218569141731314,1.4702622829700775,0
CAMP-X39RBS,25546,6,Facebook,Text,25-34,Male,Germany,44014,2148,172.29311829640648,0.58040623437997,4.880265370109511,1
CAMP-V55PSQ,306,27,LinkedIn,Story,35-44,Male,Germany,20950,616,6846.405228758169,0.014606205250596659,2.940334128878282,1
CAMP-0OXFQ8,21618,47,Google,Carousel,55+,All,India,22406,948,103.64511055601812,0.9648308488797643,4.231009551013122,1
CAMP-MYX444,22461,44,Instagram,Text,18-24,Female,India,23073,4652,102.72472285294509,0.9734754908334416,20.162094222684523,1
CAMP-NLZ15B,23519,27,Google,Story,35-44,Female,UK,39198,4374,166.66524937284748,0.6000051023011378,11.158732588397367,1
CAMP-CW790P,48802,20,YouTube,Carousel,35-44,Female,Canada,17442,3765,35.740338510716775,2.797958949661736,21.585827313381493,1
CAMP-DW5PY6,41623,42,LinkedIn,Image,55+,Female,Canada,20748,2014,49.84744011724287,2.006121071910546,9.706959706959708,1
CAMP-B2KNFT,45251,10,LinkedIn,Story,45-54,Male,India,42520,3698,93.9647742591324,1.0642285983066793,8.697083725305738,1
CAMP-U2GC5W,22503,41,LinkedIn,Carousel,25-34,Male,Germany,26585,491,118.13980358174464,0.8464547677261614,1.8469061500846342,0
CAMP-I6FQJJ,18241,42,Google,Image,55+,All,India,35500,4351,194.6165232169289,0.5138309859154929,12.256338028169015,1
CAMP-A26YFP,14920,16,YouTube,Text,25-34,Female,Germany,33807,2429,226.58847184986595,0.4413287189043689,7.184902534977963,1
CAMP-MVXPJ4,40442,34,Instagram,Text,45-54,Male,Germany,12526,4988,30.972751100341227,3.228644419607217,39.82117196231838,1
CAMP-HNRIUU,6474,53,Instagram,Text,35-44,Male,India,41264,542,637.3802903923386,0.15689220628150446,1.3134936021713843,0
CAMP-9K9XJU,1778,40,Google,Text,25-34,All,US,4761,1288,267.77277840269966,0.3734509556815795,27.053140096618357,1
CAMP-Y0BVR6,33927,35,LinkedIn,Video,18-24,All,Canada,6529,1634,19.244259734135056,5.196354725072752,25.026803492112116,1
CAMP-K2VMWW,16298,25,Facebook,Story,18-24,All,Germany,31440,4921,192.90710516627806,0.5183842239185751,15.652035623409668,1
CAMP-YZX4W6,10014,17,Google,Story,55+,Male,Germany,13211,2927,131.92530457359697,0.7580046930588146,22.15577927484672,1
CAMP-XLPU0D,27990,35,Google,Video,45-54,Male,US,32202,1353,115.04823151125403,0.869200670765791,4.201602384945034,1
CAMP-K0GET8,22399,27,YouTube,Carousel,55+,All,UK,14685,4377,65.56096254297067,1.525297923050732,29.805924412665984,1
CAMP-T63J3R,43685,19,Instagram,Carousel,55+,Female,US,40893,1299,93.6087902025867,1.068275744014868,3.17658278923043,1
CAMP-30ME8F,43789,35,Google,Text,55+,All,US,30347,4869,69.30279293886592,1.4429432892872442,16.04441954723696,1
CAMP-840982,42657,49,Google,Image,18-24,All,Germany,20886,3968,48.96265560165975,2.042372881355932,18.998372115292543,1
CAMP-N2ATQY,49180,57,LinkedIn,Carousel,18-24,All,Canada,24881,4424,50.591703944692966,1.9766086572083115,17.7806358265343,1
CAMP-YV37DI,44120,4,LinkedIn,Image,55+,All,US,1057,2259,2.395738893925657,41.74077578051088,213.71807000946075,0
CAMP-A5U6HC,2793,16,Facebook,Story,18-24,Male,UK,26381,4648,944.5399212316506,0.10587165005117319,17.61874076039574,1
CAMP-36KOF8,29567,55,YouTube,Image,45-54,Female,India,40506,2074,136.99732810227619,0.7299412432726016,5.120229101861453,1
CAMP-KRD5EQ,29823,42,Facebook,Story,55+,All,US,10813,702,36.25725111491131,2.7580689910293166,6.492185332470175,1
CAMP-Y08P0F,46799,42,LinkedIn,Video,18-24,Female,US,3958,1920,8.457445671916068,11.823900960080849,48.50934815563416,1
CAMP-ODRO8B,3727,53,Instagram,Video,25-34,Female,UK,27623,2461,741.1591092031125,0.1349237953879014,8.90924229808493,1
CAMP-NP84DY,26039,41,LinkedIn,Text,55+,Female,Canada,19237,4263,73.87764507085525,1.3535894370224046,22.160420023912252,1
CAMP-T9MOGE,49025,53,YouTube,Carousel,55+,All,US,12007,4265,24.49158592554819,4.083034896310486,35.52094611476639,1
CAMP-4QXXVA,43041,8,LinkedIn,Text,45-54,Male,US,4429,4325,10.290188424990125,9.717995032738767,97.65184014450215,1
CAMP-2IEUC1,21934,8,YouTube,Story,35-44,All,Canada,28009,367,127.69672654326615,0.7831054303973722,1.3102931200685495,0
CAMP-HH5LF6,18147,5,YouTube,Text,35-44,Female,UK,16532,528,91.1004573758748,1.0976893297846602,3.193805952092911,1
CAMP-A4FEJG,26205,9,YouTube,Image,45-54,Female,US,27155,4887,103.6252623545125,0.9650156508930215,17.996685693242497,1
CAMP-XAA2IL,10330,53,YouTube,Story,45-54,Male,Canada,927,3719,8.973862536302033,11.143473570658037,401.1866235167206,1
CAMP-GB0S0R,15807,10,YouTube,Video,45-54,All,US,48403,3610,306.2124375276776,0.3265706671074107,7.458215399871909,1
CAMP-2SDS8B,22076,44,Instagram,Carousel,35-44,Female,India,18302,3936,82.9045116868998,1.2062069719156376,21.505846355589554,1
CAMP-25SQ8C,44362,54,Facebook,Story,45-54,Male,Germany,31384,4620,70.74523240611335,1.4135228141728269,14.720876879938821,1
CAMP-ROYR6C,23876,17,Google,Story,18-24,Female,India,19099,2154,79.99246104875188,1.2501178072150374,11.278077386250589,1
CAMP-CVCJWT,30180,49,Facebook,Image,55+,Male,US,17822,1909,59.05235255135851,1.6934126360677815,10.711480193019863,1
CAMP-L9TQVD,1406,31,YouTube,Carousel,55+,Male,UK,2687,3013,191.1095305832148,0.5232601414216599,112.13248976553778,1
CAMP-Z4X1ZH,6876,35,Instagram,Video,25-34,All,Germany,7292,4229,106.05002908667831,0.9429511793746571,57.9950630828305,1
CAMP-QIMQOD,27351,54,LinkedIn,Story,25-34,Female,India,42075,3023,153.83349786113854,0.6500534759358289,7.184789067142009,1
CAMP-PXNF7C,9574,32,Instagram,Story,55+,All,Canada,41431,3484,432.744934196783,0.23108300547898916,8.409162221524944,1
CAMP-3DD03U,40394,41,YouTube,Image,18-24,Female,UK,35701,2721,88.38193791157103,1.1314529004789782,7.621635248312372,1
CAMP-VULEMX,22059,29,Instagram,Text,35-44,All,India,34022,1771,154.23183281200417,0.6483745811533713,5.205455293633531,1
CAMP-15Z8VM,5630,38,Instagram,Video,35-44,Female,Canada,16978,4114,301.563055062167,0.3316056072564495,24.23135822829544,1
CAMP-UHXID4,29420,31,YouTube,Carousel,18-24,All,US,28792,1778,97.86539768864718,1.021811614337316,6.17532647957766,1
CAMP-N1U349,3848,40,Instagram,Story,35-44,Male,Canada,11881,4213,308.75779625779626,0.3238784614089723,35.45997811632017,1
CAMP-3WXA73,32068,59,Google,Story,45-54,Female,India,48282,798,150.56130722215292,0.6641812683815915,1.652789859574997,0
CAMP-JGZLMA,32662,35,Google,Video,55+,Female,India,19606,3216,60.02694262445656,1.6659185963480567,16.403141895338162,1
CAMP-5UOFWB,13645,39,Instagram,Text,55+,Male,US,25393,3789,186.09747160131917,0.5373528137675737,14.921435041153075,1
CAMP-0HPMNZ,763,29,LinkedIn,Story,18-24,All,Canada,22884,2977,2999.213630406291,0.03334207306414962,13.009089320048941,1
CAMP-1UDBFW,34866,57,YouTube,Video,35-44,Female,Canada,46812,3738,134.262605403545,0.744809023327352,7.985132017431427,1
CAMP-YJXRPJ,8094,35,Google,Image,25-34,Female,US,39338,1712,486.014331603657,0.20575524937719253,4.3520260308099035,1
CAMP-1EPKYR,28121,6,LinkedIn,Text,25-34,All,Canada,33472,753,119.02848405106504,0.8401350382409177,2.249641491395794,1
CAMP-YBOVAK,30403,24,Instagram,Carousel,35-44,Male,US,23255,2470,76.48916225372496,1.307374758116534,10.621371748011182,1
CAMP-HEJLA0,3404,4,LinkedIn,Story,25-34,All,UK,18880,3970,554.6415981198589,0.18029661016949153,21.027542372881356,1
CAMP-GNZS43,46676,12,Facebook,Video,18-24,All,India,8462,1393,18.129231296597823,5.515953675254077,16.461829354762468,1
CAMP-C5BA75,39453,7,Google,Image,18-24,All,UK,3716,2606,9.41880211897701,10.617061356297093,70.1291711517761,1
CAMP-UUZPEA,17775,12,Instagram,Carousel,35-44,Female,Germany,37095,678,208.69198312236284,0.47917509098261224,1.8277395875454912,0
CAMP-L2W37D,44517,35,YouTube,Video,25-34,Male,Germany,20836,106,46.80459150436912,2.1365425225571126,0.5087348819351123,0
CAMP-4IVSOL,24038,56,Instagram,Video,18-24,Male,Germany,5565,3288,23.150844496214326,4.319496855345912,59.083557951482476,1
CAMP-MLGSES,23764,40,YouTube,Carousel,18-24,All,US,42023,4754,176.83470796162263,0.5654998453227994,11.312852485543631,1
CAMP-6M033I,1736,15,Instagram,Image,45-54,Female,Canada,26677,1947,1536.6935483870968,0.06507478352138546,7.298421861528658,1
CAMP-FHV1XG,20180,33,LinkedIn,Image,45-54,All,UK,15248,1096,75.5599603567889,1.3234522560335782,7.187827911857293,1
CAMP-1R11Q7,27828,49,LinkedIn,Text,18-24,Female,UK,4035,1783,14.499784389823201,6.896654275092937,44.18835192069393,1
